run_id,trained_at,instance,algorithm,run,makespan,idle_time,utilization
2,2026-05-19 01:31:22,ft06,random,16,94,367,0.3493
2,2026-05-19 01:31:22,ft06,random,17,98,391,0.335
2,2026-05-19 01:31:22,ft06,random,18,91,349,0.3608
2,2026-05-19 01:31:22,ft06,random,19,79,277,0.4156
2,2026-05-19 01:31:22,ft06,random,20,87,325,0.3774
2,2026-05-19 01:31:22,ft06,random,21,106,439,0.3097
2,2026-05-19 01:31:22,ft06,random,22,81,289,0.4053
2,2026-05-19 01:31:22,ft06,random,23,91,349,0.3608
2,2026-05-19 01:31:22,ft06,random,24,120,523,0.2736
2,2026-05-19 01:31:22,ft06,random,25,104,427,0.3157
2,2026-05-19 01:31:22,ft06,random,26,92,355,0.3569
2,2026-05-19 01:31:22,ft06,random,27,79,277,0.4156
2,2026-05-19 01:31:22,ft06,random,28,98,391,0.335
2,2026-05-19 01:31:22,ft06,random,29,85,313,0.3863
2,2026-05-19 01:31:22,ft06,random,30,115,493,0.2855
3,2026-05-19 01:41:54,ft06,a2c,1,69,217,0.4758
3,2026-05-19 01:41:54,ft06,a2c,2,72,235,0.456
3,2026-05-19 01:41:54,ft06,a2c,3,65,193,0.5051
3,2026-05-19 01:41:54,ft06,a2c,4,81,289,0.4053
3,2026-05-19 01:41:54,ft06,a2c,5,70,223,0.469
3,2026-05-19 01:41:54,ft06,a2c,6,73,241,0.4498
3,2026-05-19 01:41:54,ft06,a2c,7,91,349,0.3608
3,2026-05-19 01:41:54,ft06,a2c,8,66,199,0.4975
3,2026-05-19 01:41:54,ft06,a2c,9,69,217,0.4758
3,2026-05-19 01:41:54,ft06,a2c,10,68,211,0.4828
3,2026-05-19 01:41:54,ft06,a2c,11,71,229,0.4624
3,2026-05-19 01:41:54,ft06,a2c,12,78,271,0.4209
3,2026-05-19 01:41:54,ft06,a2c,13,79,277,0.4156
3,2026-05-19 01:41:54,ft06,a2c,14,90,343,0.3648
3,2026-05-19 01:41:54,ft06,a2c,15,85,313,0.3863
3,2026-05-19 01:41:54,ft06,a2c,16,85,313,0.3863
3,2026-05-19 01:41:54,ft06,a2c,17,69,217,0.4758
3,2026-05-19 01:41:54,ft06,a2c,18,84,307,0.3909
3,2026-05-19 01:41:54,ft06,a2c,19,85,313,0.3863
3,2026-05-19 01:41:54,ft06,a2c,20,72,235,0.456
3,2026-05-19 01:41:54,ft06,a2c,21,68,211,0.4828
3,2026-05-19 01:41:54,ft06,a2c,22,80,283,0.4104
3,2026-05-19 01:41:54,ft06,a2c,23,76,259,0.432
3,2026-05-19 01:41:54,ft06,a2c,24,84,307,0.3909
3,2026-05-19 01:41:54,ft06,a2c,25,75,253,0.4378
3,2026-05-19 01:41:54,ft06,a2c,26,87,325,0.3774
3,2026-05-19 01:41:54,ft06,a2c,27,67,205,0.49
3,2026-05-19 01:41:54,ft06,a2c,28,85,313,0.3863
3,2026-05-19 01:41:54,ft06,a2c,29,66,199,0.4975
3,2026-05-19 01:41:54,ft06,a2c,30,62,175,0.5296
